City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Wajima,JP,37.4,136.9,81.23,79,52,2.59,broken clouds
309,Katherine,AU,-14.4667,132.2667,68.32,77,11,3.44,few clouds
310,Fernley,US,39.608,-119.2518,94.05,24,5,13.98,clear sky
311,Hervey Bay,AU,-25.2986,152.8535,66.31,93,3,3.0,clear sky
312,Merauke,ID,-8.4667,140.3333,74.07,82,8,12.64,clear sky
313,Barra Do Garcas,BR,-15.89,-52.2567,79.21,29,5,3.11,clear sky
314,Vao,NC,-22.6667,167.4833,66.47,58,59,9.46,broken clouds
315,Port Blair,IN,11.6667,92.75,81.82,81,100,19.01,overcast clouds
316,Neiafu,TO,-18.65,-173.9833,77.68,65,20,12.66,few clouds
317,Tual,ID,-5.6667,132.75,81.27,78,53,12.17,broken clouds
318,Klaipeda,LT,55.7172,21.1175,64.45,78,100,8.48,overcast clouds
319,Santiago De Cao,PE,-7.9589,-79.2392,64.53,88,90,11.5,fog
320,Maragogi,BR,-9.0122,-35.2225,73.74,79,14,14.9,few clouds
321,Xiaoweizhai,CN,26.1903,107.5125,70.54,91,11,2.82,few clouds
322,Chengde,CN,40.9725,117.9361,64.17,92,11,2.82,few clouds
323,Cayenne,GF,4.9333,-52.3333,83.08,79,0,1.99,clear sky
324,Snezhnogorsk,RU,69.1933,33.2531,53.38,77,96,7.49,overcast clouds
325,Naryan-Mar,RU,67.6713,53.087,49.41,90,89,8.12,overcast clouds
326,Aloleng,PH,16.1307,119.7824,82.13,84,100,20.76,overcast clouds
327,Komagane,JP,35.7296,137.9396,75.18,90,17,1.16,few clouds
328,Mount Gambier,AU,-37.8333,140.7667,43.97,85,14,11.36,few clouds
329,Labuhan,ID,-6.8844,112.2051,76.37,78,11,9.8,few clouds
330,Ramsgate,GB,51.3358,1.4155,58.91,88,97,1.99,overcast clouds
331,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,82,75,13.8,broken clouds
332,Yerbogachen,RU,61.2767,108.0108,59.52,65,100,5.19,overcast clouds
333,Kitimat,CA,54.0524,-128.6534,82.78,46,13,3.89,few clouds
334,Saint-Pierre,RE,-21.3393,55.4781,67.64,69,36,5.75,scattered clouds
335,Northam,GB,51.0333,-4.2167,58.14,89,10,7.78,clear sky
336,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.0,38,0,5.08,clear sky
337,Tessalit,ML,20.1986,1.0114,87.06,40,6,12.19,clear sky
338,Lasa,IT,46.6166,10.7002,54.86,95,83,6.76,broken clouds
339,Lompoc,US,34.6391,-120.4579,91.13,61,1,16.11,clear sky
340,Haines Junction,CA,60.7522,-137.5108,80.55,32,20,6.91,few clouds
341,Muborak,UZ,39.2553,65.1528,82.38,16,0,9.04,clear sky
342,Okhotsk,RU,59.3833,143.3,61.72,52,0,9.53,clear sky
343,Abu Kamal,SY,34.4506,40.9171,93.11,15,0,8.28,clear sky
344,Hastings,GB,50.8552,0.5729,61.29,99,51,5.48,broken clouds
